,compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,block_x,Actual,Predicted
7008,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,7936,0.004416612,32,-2.2593664974177017,-2.2593973553331272
7007,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,7680,0.004187725,32,-2.2615609589053696,-2.261767580288362
6972,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,6912,0.003823202,32,-2.2650658072170047,-2.2650832970009303
6971,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,6656,0.003542663,32,-2.2677715483104386,-2.2677528410884613
6970,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,6400,0.00327134,32,-2.2703953856882273,-2.270355821025065
6969,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,6144,0.00302216,32,-2.2728111682619354,-2.272804430363762
6968,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,5888,0.002767188,32,-2.275289159790147,-2.2752590789958607
6967,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,5632,0.00252844,32,-2.2776150554748944,-2.2776173850085075
6966,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,5376,0.002306492,32,-2.2797821476275257,-2.279805116194144
6965,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,5120,0.002083327,32,-2.2819658678321284,-2.2819443651910563
6964,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,4864,0.001886914,32,-2.2838917670196417,-2.283939147814978
6963,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,4608,0.001705861,32,-2.2856703473030313,-2.285636247671478
6962,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,4352,0.001533608,32,-2.2873654220057134,-2.287376528089979
6961,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,4096,0.001333099,32,-2.2893421787466988,-2.2893977769809424
6960,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,3840,0.00119851,32,-2.290671245557319,-2.290727286445242
6959,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,3584,0.001023889,32,-2.292398265355972,-2.292386519634534
6958,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,3328,0.000880851,32,-2.293815151595788,-2.293815811383368
6957,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,3072,0.00074962,32,-2.295116849874616,-2.2951044367481135
6956,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,2816,0.000635383,32,-2.2962513634734574,-2.296245320172299
6955,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,2560,0.000522936,32,-2.297369358615507,-2.2973775286900984
6954,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,2304,0.000422874,32,-2.2983652689882628,-2.2983689497995288
6953,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,2048,0.000333563,32,-2.299255013867446,-2.2992490134896437
6952,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,1792,0.000257437,32,-2.3000140310083417,-2.3000333259850794
6951,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,1536,0.000188541,32,-2.300701458148567,-2.300700188732574
6950,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,1280,0.00013139,32,-2.3012720554053185,-2.3012836351518153
6949,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,1024,8.4831e-05,32,-2.3017371426056132,-2.3017426968552184
6948,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,768,4.848e-05,32,-2.3021004104715983,-2.3020980712133947
6947,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,512,1.9936e-05,32,-2.30238575286361,-2.3023866548939136
6946,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,256,5.12e-06,32,-2.302533894304721,-2.302528186026844
6945,5.2,8,0,348,3072,3.0,336.48,6610.944,6,5,100,8192,0.003002973,32,-2.272997427091391,-2.2729396543060227
6944,5.2,8,0,348,3072,3.0,336.48,6610.944,6,5,100,7936,0.002819739,32,-2.2747779307746505,-2.2747018294565393
6973,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,7168,0.004114078,32,-2.262268077154065,-2.2622654788557575
6974,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,7424,0.004436889,32,-2.259172323032627,-2.2591514474862686
6975,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,7680,0.00473698,32,-2.2563030238479915,-2.2562660470566755
6976,5.2,8,0,348,1664,1.75,224.32,3580.928,6,5,100,7936,0.005053358,32,-2.2532868864714164,-2.2532841228028526
7006,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,7424,0.003858747,32,-2.264723504956089,-2.264662853148778
7005,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,7168,0.003584008,32,-2.2673723240063013,-2.26735200805631
7004,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,6912,0.003340114,32,-2.2697296529690716,-2.2697108465486613
7003,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,6656,0.003158202,32,-2.2714915273570218,-2.271600672963661
7002,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,6400,0.002873606,32,-2.2742541705019845,-2.274223136548374
7001,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,6144,0.002633457,32,-2.27659130778385,-2.2766392113012084
7000,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,5888,0.002428153,32,-2.2785936725228826,-2.278648678335194
6999,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,5632,0.002214306,32,-2.2806836305783507,-2.2806469668462355
6998,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,5376,0.002076104,32,-2.2820366262582037,-2.2820444699749967
6997,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,5120,0.001844114,32,-2.284311928848204,-2.284351106147005
6996,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,4864,0.001650811,32,-2.2862117605825008,-2.2862082680420617
6995,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,4608,0.001481505,32,-2.2878787138525523,-2.2878110244701717
6994,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,4352,0.001332232,32,-2.2893507347241395,-2.2893916338835396
6993,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,4096,0.001167279,32,-2.2909799044507246,-2.291021689415295
6943,5.2,8,0,348,3072,3.0,336.48,6610.944,6,5,100,7680,0.002642234,32,-2.27650579351801,-2.2765317392267854
6992,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,3840,0.001035669,32,-2.292281666070791,-2.292341352395117
6990,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,3328,0.00076992,32,-2.2949153805772107,-2.29488954644978
6989,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,3072,0.000653797,32,-2.296068402819026,-2.2960307988112767
6988,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,2816,0.000552042,32,-2.2970798546653604,-2.2970730159362547
6987,5.2,8,0,348,2048,2.0,224.32,4980.736,6,5,100,2560,0.000453934,32,-2.2980560247250077,-2.2980799047733904
