,null,AppName,block_x,compute_version,registers,smem,cmem,number_of_lines_kernel,occupancy,Unnamed: 0,gpu_id,gpu_name,l1_cache_used,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,input_size,device,context,stream,kernel,multiprocessor_activity,executed_ipc,achieved_occupancy,requested_global_load_throughput,requested_global_store_throughput,instruction_replay_overhead,device_memory_read_throughput,device_memory_write_throughput,global_store_throughput,global_load_throughput,shared_memory_efficiency,global_memory_load_efficiency,global_memory_store_efficiency,l2_hit_rate_.texture_reads.,l2_throughput_.texture_reads.,local_memory_overhead,issued_ipc,instructions_per_warp,issue_slot_utilization,local_memory_load_transactions_per_request,local_memory_store_transactions_per_request,shared_memory_load_transactions_per_request,shared_memory_store_transactions_per_request,global_load_transactions_per_request,global_store_transactions_per_request,local_load_transactions,local_store_transactions,shared_load_transactions,shared_store_transactions,global_load_transactions,global_store_transactions,system_memory_read_transactions,system_memory_write_transactions,device_memory_read_transactions,device_memory_write_transactions,l2_read_transactions,l2_write_transactions,local_memory_load_throughput,local_memory_store_throughput,shared_memory_load_throughput,shared_memory_store_throughput,l2_throughput_.reads.,l2_throughput_.writes.,system_memory_read_throughput,system_memory_write_throughput,issued_control.flow_instructions,executed_control.flow_instructions,issued_load.store_instructions,executed_load.store_instructions,floating_point_operations.single_precision.,floating_point_operations.single_precision_add.,floating_point_operation.single_precision_mul.,floating_point_operations.single_precision_fma.,floating_point_operations.double_precision.,floating_point_operations.double_precision_add.,floating_point_operations.double_precision_mul.,floating_point_operations.double_precison_fma.,floating_point_operations.single_precision_special.,l2_cache_utilization,device_memory_utilization,system_memory_utilization,load.store_function_unit_utilization,control.flow_function_unit_utilization,texture_function_unit_utilization,instructions_executed,instructions_issued,issue_slots,l2_throughput_.atomic_requests.,fp_instructions.single.,fp_instructions.double.,integer_instructions,bit.convert_instructions,control.flow_instructions,load.store_instructions,misc_instructions,inter.thread_instructions,atomic_transactions,atomic_transactions_per_request,ecc_transactions,ecc_throughput,l2_transactions_.texture_reads.,l2_transactions_.atomic_requests.,flop_efficiency.peak_single.,flop_efficiency.peak_double.,eligible_warps_per_active_cycle,tex0_cache_sector_queries,tex1_cache_sector_queries,tex0_cache_sector_misses,tex1_cache_sector_misses,fb_subp0_read_sectors,fb_subp1_read_sectors,fb_subp0_write_sectors,fb_subp1_write_sectors,l2_subp0_write_sector_misses,l2_subp1_write_sector_misses,l2_subp0_read_sector_misses,l2_subp1_read_sector_misses,l2_subp0_read_tex_sector_queries,l2_subp1_read_tex_sector_queries,l2_subp0_read_tex_hit_sectors,l2_subp1_read_tex_hit_sectors,l2_subp0_read_sysmem_sector_queries,l2_subp1_read_sysmem_sector_queries,l2_subp0_write_sysmem_sector_queries,l2_subp1_write_sysmem_sector_queries,l2_subp0_total_read_sector_queries,l2_subp1_total_read_sector_queries,l2_subp0_total_write_sector_queries,l2_subp1_total_write_sector_queries,elapsed_cycles_sm,gld_inst_8bit,gld_inst_16bit,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,prof_trigger_00,prof_trigger_01,prof_trigger_02,prof_trigger_03,prof_trigger_04,prof_trigger_05,prof_trigger_06,prof_trigger_07,warps_launched,inst_executed,inst_issued1,inst_issued2,shared_load,shared_store,local_load,local_store,gld_request,gst_request,active_cycles,active_warps,sm_cta_launched,atom_count,gred_count,start,duration,grid_x,grid_y,grid_z,block_y,block_z,registers_per_thread,static_smem,dynamic_smem
0,0,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100,321,1,GTX-680,0,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,4,256,GeForce GTX 680 (1),1,7,"matMul(float*, float*, float*, int)",94.665371,1.408113,0.929125,51.260096,1.601878,0.137981,1.614979,1.683223,1.601878,51.260096,65.269011,100.0,100.0,0,0.0,0.181665,1.602407,864.0,38.328548,0,0,1.2,1.023026,2.0,2.0,0,0,786432.0,67045.0,131072.0,4096,0,5,8259.0,8608,262210.0,8196,0,0,1230.242309,104.880772,51.273002,1.60266,0,1.001173,102715,73728,898327.0,922930,33554432.0,0,0,16777216.0,0,0,0,0,0,Low (2),Low (1),Low (1),High (8),Low (1),Idle (0),1769472.0,2013626.0,1926586.0,0,16777216.0,0,10485760.0,0,1048576.0,25231360.0,2949120.0,0,0,0,0,0.0,0.0,0,6.582696,0.0,7.859007,0.0,0.0,0.0,0.0,4107.0,4112.0,4096,4096,2048,2048,2056.0,2063.0,0.0,0.0,0.0,0.0,0,0,0,0,65554.0,65552.0,2048,2049,1386608.0,0,0,2097152.0,0,0,0,0,65536,0,0,0,0,0,0,0,0,0,0,2048,1769472.0,1838798.0,87040,655360,65536.0,0,0,65536.0,2048,1254215.0,74280966.0,256,0,0,0.183725,0.000152641,16,16,1,16,1,22,2048,0
1,0,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100,322,1,GTX-680,0,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,4,512,GeForce GTX 680 (1),1,7,"matMul(float*, float*, float*, int)",98.910478,1.37521,0.982424,52.474707,839.595315,0.146443,25.82727,839.902783,839.595315,52.474707,65.374861,100.0,100.0,0,0.0,0,1.5766,1696.0,37.912374,0,0,1.2,1.00194,2.0,2.0,0,0,6291456.0,525305.0,1048576.0,16384,0,1,1032187.0,32780,2097224.0,32937,0,0,1259.392973,105.152992,52.476509,843.925503,0,26.237305,803052,557056,7280260.0,7357160,268435456.0,0,0,134217728.0,0,0,0,0,0,Low (2),Low (2),Low (1),High (8),Low (1),Idle (0),13893632.0,15928253.0,15321021.0,0,134217728.0,0,79691776.0,0,8388608.0,201588736.0,20185088.0,0,0,0,0,0.0,0.0,0,6.843909,0.0,7.707388,0.0,0.0,0.0,0.0,515209.0,513670.0,16384,16384,8192,8192,257444.0,256947.0,0.0,0.0,0.0,0.0,0,0,0,0,524304.0,524308.0,8197,8196,10224134.0,0,0,16777216.0,0,0,0,0,262144,0,0,0,0,0,0,0,0,0,0,8192,13893632.0,14712054.0,607232,5242880,524288.0,0,0,524288.0,8192,10074421.0,633937482.0,1024,0,0,0.186286,0.001193712,32,32,1,16,1,22,2048,0
2,0,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100,323,1,GTX-680,0,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,4,768,GeForce GTX 680 (1),1,7,"matMul(float*, float*, float*, int)",99.677642,1.370848,0.990387,52.969054,565.003246,0.147413,27.387942,565.003246,565.003246,52.969054,65.381588,100.0,100.0,0,0.0,0,1.572929,2528.0,37.885478,0,0,1.2,1.000602,2.0,2.0,0,0,21233664.0,1770537.0,3538944.0,36864,0,1,3659661.0,73728,7078016.0,73805,0,0,1271.257305,106.00187,52.970012,565.593324,0,7.84668,2691521,1843200,24576685.0,24810421,905969664.0,0,0,452984832.0,0,0,0,0,0,Low (2),Low (2),Low (1),High (8),Low (1),Idle (0),46596096.0,53464976.0,51510160.0,0,452984832.0,0,264241152.0,0,28311552.0,680067072.0,64290816.0,0,0,0,0,0.0,0.0,0,6.918629,0.0,7.704741,0.0,0.0,0.0,0.0,1828245.0,1831156.0,36864,36864,18432,18432,914130.0,915869.0,0.0,0.0,0.0,0.0,0,0,0,0,1769488.0,1769490.0,18433,18432,34103818.0,0,0,56623104.0,0,0,0,0,589824,0,0,0,0,0,0,0,0,0,0,18432,46596096.0,49554157.0,1954816,17694720,1769472.0,0,0,1769472.0,18432,33970418.0,2154836504.0,2304,0,0,0.194861,0.003989662,48,48,1,16,1,22,2048,0
3,0,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100,324,1,GTX-680,0,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,4,1024,GeForce GTX 680 (1),1,7,"matMul(float*, float*, float*, int)",99.725392,1.368421,0.994583,53.135861,425.086884,0.147726,27.864841,425.086884,425.086884,53.135861,65.379997,100.0,100.0,0,0.0,0,1.570573,3360.0,37.858923,0,0,1.2,1.000918,2.0,2.0,0,0,50331648.0,4198156.0,8388608.0,65536,0,0,8798097.0,131072,16777340.0,131073,0,0,1275.260655,106.36932,53.136253,425.090128,0,0.0,6358407,4325376,58236129.0,58789190,2147483648.0,0,0,1073741824.0,0,0,0,0,0,Low (2),Low (2),Idle (0),High (8),Low (1),Idle (0),110100480.0,126365213.0,121842205.0,0,1073741824.0,0,620756992.0,0,67108864.0,1611661312.0,147849216.0,0,0,0,0,0.0,0.0,0,6.931622,0.0,7.661437,0.0,0.0,0.0,0.0,4398255.0,4395170.0,65536,65536,32768,32768,2199152.0,2197797.0,0.0,0.0,0.0,0.0,0,0,0,1,4194322.0,4194322.0,32768,32772,80795584.0,0,0,134217728.0,0,0,0,0,1048576,0,0,0,0,0,0,0,0,0,0,32768,110100480.0,117319935.0,4523008,41943040,4194304.0,0,0,4194304.0,32768,80448553.0,5121089696.0,4096,0,0,0.203912,0.009404344,64,64,1,16,1,22,2048,0
4,0,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100,325,1,GTX-680,0,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,4,1280,GeForce GTX 680 (1),1,7,"matMul(float*, float*, float*, int)",99.781801,1.36528,0.996652,53.146825,340.139682,0.147914,28.256061,340.152968,340.139682,53.146825,65.381357,100.0,100.0,0,0.0,0,1.567224,4192.0,37.796256,0,0,1.2,1.000648,2.0,2.0,0,0,98304000.0,8197308.0,16384000.0,102400,0,2,17421447.0,204808,32768130.0,204804,0,0,1275.52381,106.362524,53.147036,340.146325,0,3.401367,12392172,8396800,113719996.0,114795582,4194304000.0,0,0,2097152000.0,0,0,0,0,0,Low (2),Low (2),Low (1),High (8),Low (1),Idle (0),214630400.0,246377197.0,237672173.0,0,2097152000.0,0,1205862400.0,0,131072000.0,3147366400.0,283443200.0,0,0,0,0,0.0,0.0,0,6.932828,0.0,7.704687,0.0,0.0,0.0,0.0,8697883.0,8719418.0,102400,102400,51200,51200,4348322.0,4360621.0,0.0,0.0,0.0,0.0,0,0,1,1,8192016.0,8192018.0,51201,51205,157429086.0,0,0,262144000.0,0,0,0,0,1638400,0,0,0,0,0,0,0,0,0,0,51200,214630400.0,228967545.0,8705024,81920000,8192000.0,0,0,8192000.0,51200,157263562.0,10026717172.0,6400,0,0,0.203429,0.018386,80,80,1,16,1,22,2048,0
5,0,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100,326,1,GTX-680,0,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,4,1536,GeForce GTX 680 (1),1,7,"matMul(float*, float*, float*, int)",99.897377,1.362338,0.997596,53.499729,285.331886,0.14824,29.012547,285.331886,285.331886,53.499729,65.380926,100.0,100.0,0,0.0,0,1.56429,5024.0,37.737773,0,0,1.2,1.000733,2.0,2.0,0,0,169869312.0,14166159.0,28311552.0,147456,0,1,30706333.0,294912,56623230.0,294917,0,0,1283.99349,107.07794,53.499848,285.336723,0,0.990234,21385052,14450688,196523190.0,198338994,7247757312.0,0,0,3623878656.0,0,0,0,0,0,Low (2),Low (2),Low (1),High (8),Low (1),Idle (0),370409472.0,425318903.0,410424823.0,0,3623878656.0,0,2076180480.0,0,226492416.0,5438177280.0,483655680.0,0,0,0,0,0.0,0.0,0,6.934723,0.0,7.716128,0.0,0.0,0.0,0.0,15368797.0,15345890.0,147456,147456,73728,73728,7683794.0,7679287.0,0.0,0.0,0.0,0.0,0,0,1,0,14155796.0,14155792.0,73728,73728,272095254.0,0,0,452984832.0,0,0,0,0,2359296,0,0,0,0,0,0,0,0,0,0,73728,370409472.0,395514924.0,14894080,141557760,14155776.0,0,0,14155776.0,73728,271890942.0,17356948944.0,9216,0,0,0.222946,0.031754,96,96,1,16,1,22,2048,0
6,0,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100,327,1,GTX-680,0,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,4,1792,GeForce GTX 680 (1),1,7,"matMul(float*, float*, float*, int)",99.926638,1.363402,0.997967,53.565042,244.868765,0.148252,29.876726,244.868765,244.868765,53.565042,65.374485,100.0,100.0,0,0.0,0,1.56553,5856.0,37.776186,0,0,1.2,1.002015,2.0,2.0,0,0,269746176.0,22524132.0,44957696.0,200704,0,10,50151693.0,401408,89915502.0,401417,0,0,1285.561016,107.3459,53.565108,244.874255,0,6.246094,33933257,22880256,311995920.0,314945296,11509170176.0,0,0,5754585088.0,0,0,0,0,0,Low (2),Low (2),Low (1),High (8),Low (1),Idle (0),587661312.0,674783522.0,651300130.0,0,5754585088.0,0,3288334336.0,0,359661568.0,8635088896.0,761069568.0,0,0,0,0,0.0,0.0,0,6.948499,0.0,7.666968,0.0,0.0,0.0,0.0,25085785.0,25078354.0,200704,200704,100352,100352,12542464.0,12540731.0,0.0,0.0,0.0,0.0,0,0,0,1,22478864.0,22478864.0,100352,100352,431264384.0,0,0,719323136.0,0,0,0,0,3211264,0,0,0,0,0,0,0,0,0,0,100352,587661312.0,627798576.0,23483392,224788480,22478848.0,0,0,22478848.0,100352,430957197.0,27525414484.0,12544,0,0,0.236531,0.050327,112,112,1,16,1,22,2048,0
7,0,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100,328,1,GTX-680,0,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,4,2048,GeForce GTX 680 (1),1,7,"matMul(float*, float*, float*, int)",99.958466,1.362226,0.99836,53.772499,215.089995,0.14825,30.953156,215.089995,215.089995,53.772499,65.372096,100.0,100.0,0,0.0,0,1.564176,6688.0,37.749869,0,0,1.2,1.00249,2.0,2.0,0,0,402653184.0,33637970.0,67108864.0,262144,0,0,77259981.0,524288,134217906.0,524293,0,0,1290.539978,107.812745,53.77257,215.092047,0,0.0,50620766,34078720,465609914.0,470101615,17179869184.0,0,0,8589934592.0,0,0,0,0,0,Low (2),Low (2),Idle (0),High (8),Low (1),Idle (0),876609536.0,1006566638.0,971700462.0,0,8589934592.0,0,4898947072.0,0,536870912.0,12889096192.0,1128267776.0,0,0,0,0,0.0,0.0,0,6.949463,0.0,7.67614,0.0,0.0,0.0,0.0,38663685.0,38628820.0,262144,262144,131072,131072,19331172.0,19317401.0,0.0,0.0,0.0,0.0,0,0,0,0,33554448.0,33554450.0,131072,131076,643554608.0,0,0,1073741824.0,0,0,0,0,4194304,0,0,0,0,0,0,0,0,0,0,131072,876609536.0,936813665.0,34866176,335544320,33554432.0,0,0,33554432.0,131072,643319000.0,41106375600.0,16384,0,0,0.259861,0.075129,128,128,1,16,1,22,2048,0
8,0,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100,329,1,GTX-680,0,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,4,2304,GeForce GTX 680 (1),1,7,"matMul(float*, float*, float*, int)",99.960865,1.360307,0.998638,53.781594,191.223444,0.148379,31.809645,191.223444,191.223444,53.781594,65.370923,100.0,100.0,0,0.0,0,1.562147,7520.0,37.706011,0,0,1.2,1.002723,2.0,2.0,0,0,573308928.0,47905837.0,95551488.0,331776,0,4,113029707.0,663552,191103082.0,663558,0,0,1290.75825,107.856081,53.781624,191.225173,0,1.179688,72035867,48439296,663034451.0,669305794,24461180928.0,0,0,12230590464.0,0,0,0,0,0,Low (2),Low (2),Low (1),High (8),Low (1),Idle (0),1247477760.0,1432577139.0,1383141491.0,0,12230590464.0,0,6964641792.0,0,764411904.0,18351194112.0,1597833216.0,0,0,0,0,0.0,0.0,0,6.943528,0.0,7.688652,0.0,0.0,0.0,0.0,56524089.0,56514818.0,331776,331776,165888,165888,28261928.0,28262241.0,0.0,0.0,0.0,0.0,0,0,4,0,47775760.0,47775760.0,165888,165892,917432616.0,0,0,1528823808.0,0,0,0,0,5308416,0,0,0,0,0,0,0,0,0,0,165888,1247477760.0,1333698018.0,49435648,477757440,47775744.0,0,0,47775744.0,165888,917089003.0,58618061022.0,20736,0,0,0.297084,0.113854,144,144,1,16,1,22,2048,0
9,0,matMul_gpu_sharedmem,16,3.0,25,2048,348,15,100,330,1,GTX-680,0,1058,1536,0.5,256,3004,192256.0,2,8,192,3250176.0,4,2560,GeForce GTX 680 (1),1,7,"matMul(float*, float*, float*, int)",99.984953,1.356306,0.998799,53.071589,169.829083,0.148665,32.107169,169.829083,169.829083,53.071589,65.373732,100.0,100.0,0,0.0,0,1.557942,8352.0,37.608783,0,0,1.2,1.002164,2.0,2.0,0,0,786432000.0,65677837.0,131072000.0,409600,0,5,158591481.0,819200,262144118.0,819202,0,0,1273.718126,106.372899,53.071612,169.829497,0,1.060547,98760159,66355200,909826905.0,918043424,33554432000.0,0,0,16777216000.0,0,0,0,0,0,Low (2),Low (2),Low (1),High (8),Low (1),Idle (0),1710489600.0,1964780293.0,1897195269.0,0,16777216000.0,0,9542041600.0,0,1048576000.0,25172377600.0,2182348800.0,0,0,0,0,0.0,0.0,0,6.927724,0.0,7.679449,0.0,0.0,0.0,0.0,79397009.0,79385338.0,409600,409600,204800,204800,39690980.0,39696207.0,0.0,0.0,0.0,0.0,0,0,5,0,65536016.0,65536020.0,204804,204804,1261767168.0,0,0,2097152000.0,0,0,0,0,6553600,0,0,0,0,0,0,0,0,0,0,204800,1710489600.0,1829635582.0,67585024,655360000,65536000.0,0,0,65536000.0,204800,1261312097.0,80636155772.0,25600,0,0,0.290195,0.147237,160,160,1,16,1,22,2048,0
