compute_version,registers,smem,cmem,num_of_cores,L2,bandwith,theoretical_flops,occupancy,input_size,duration,block_x
3.0,32,0,348,1536,0.5,192.256,3250.176,50,256,0.00124207,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,512,0.010034,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,768,0.033598,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,1024,0.079599,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,1280,0.154715,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,1536,0.267857,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,1792,0.424185,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,2048,0.631861,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,2304,0.899349,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,2560,1.226606,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,2816,1.642481,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,3072,2.132354,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,3328,2.711404,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,3584,3.349367,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,3840,4.157993,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,4096,4.99024,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,4352,5.995696,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,4608,7.154504,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,4864,8.376372,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,5120,9.742227,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,5376,11.293308,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,5632,12.966516,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,5888,14.833248,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,6144,17.345305,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,6400,19.040267,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,6656,21.399363,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,6912,23.978652,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,7168,26.727529,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,7424,29.710652,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,7680,33.91544,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,7936,36.288952,8
3.0,32,0,348,1536,0.5,192.256,3250.176,50,8192,39.872202,8
3.0,32,0,348,1536,0.5,192.256,3250.176,100,256,0.002234976,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,512,0.017742,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,768,0.059652,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1024,0.142552,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1280,0.277664,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1536,0.522434,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,1792,0.763392,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2048,1.183328,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2304,1.636687,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2560,2.527365,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,2816,2.966659,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3072,4.462793,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3328,4.884389,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3584,7.230567,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,3840,8.706024,16
3.0,32,0,348,1536,0.5,192.256,3250.176,100,4096,10.934338,16
