,compute_version,registers,smem,cmem,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,number_of_lines_kernel,occupancy,input_size,duration,grid_x,grid_y,block_x,block_y
4229,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,7168,16.579267,448,448,16,16
4137,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,8192,33.878049,1024,1024,8,8
4138,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,256,0.000407935,32,32,8,8
4139,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,512,0.003089886,64,64,8,8
4140,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,768,0.01037,96,96,8,8
4141,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,1024,0.024072,128,128,8,8
4142,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,1280,0.048656,160,160,8,8
4143,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,1536,0.083577,192,192,8,8
4144,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,1792,0.132881,224,224,8,8
4145,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,2048,0.189345,256,256,8,8
4146,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,2304,0.27603,288,288,8,8
4147,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,2560,0.375044,320,320,8,8
4148,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,2816,0.512305,352,352,8,8
4149,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,3072,0.633335,384,384,8,8
4150,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,3328,0.908797,416,416,8,8
4151,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,3584,1.130625,448,448,8,8
4152,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,3840,1.474136,480,480,8,8
4153,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,4096,1.642533,512,512,8,8
4154,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,4352,2.299736,544,544,8,8
4155,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,4608,2.864548,576,576,8,8
4136,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,7936,31.28972,992,992,8,8
4156,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,4864,3.547288,608,608,8,8
4135,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,7680,26.95006,960,960,8,8
4133,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,7168,19.78441,896,896,8,8
4114,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,2304,0.199642,288,288,8,8
4115,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,2560,0.265343,320,320,8,8
4116,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,2816,0.395619,352,352,8,8
4117,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,3072,0.501882,384,384,8,8
4118,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,3328,0.708494,416,416,8,8
4119,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,3584,0.909595,448,448,8,8
4120,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,3840,1.156493,480,480,8,8
4121,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,4096,1.264585,512,512,8,8
4122,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,4352,1.802433,544,544,8,8
4123,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,4608,2.354611,576,576,8,8
4124,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,4864,3.021453,608,608,8,8
4125,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,5120,3.568391,640,640,8,8
4126,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,5376,4.749855,672,672,8,8
4127,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,5632,5.952727,704,704,8,8
4128,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,5888,7.452117,736,736,8,8
4129,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,6144,8.434865,768,768,8,8
4130,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,6400,11.457155,800,800,8,8
4131,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,6656,14.125445,832,832,8,8
4132,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,6912,16.782022,864,864,8,8
4134,5.2,32,0,348,6,1076,3072,3.0,384,3505,336.48,12,24,128,6610944.0,1,6,100,7424,23.346109,928,928,8,8
4157,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,5120,4.076983,640,640,8,8
4158,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,5376,5.32561,672,672,8,8
4159,5.2,32,0,348,7,1076,1664,1.75,256,3505,224.32,4,13,128,3580928.0,1,6,100,5632,6.396706,704,704,8,8
4184,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,3840,1.531609,480,480,8,8
4185,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,4096,1.689597,512,512,8,8
4186,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,4352,2.472679,544,544,8,8
4187,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,4608,3.193931,576,576,8,8
4188,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,4864,4.028933,608,608,8,8
4189,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,5120,4.669596,640,640,8,8
4190,5.2,32,0,348,8,1216,2048,2.0,256,3505,224.32,4,16,128,4980736.0,1,6,100,5376,5.980364,672,672,8,8
