,compute_version,gpu_id,max_clock_rate,num_of_cores,L2,bus,memory_clock,bandwith,GM,num_sm,num_cores_sm,theoretical_flops,AppId,duration,grid_x,grid_y,block_x,block_y,registers,smem,cmem,number_of_lines_kernel,occupancy
0,3.0,1.0,1058.0,1536.0,0.5,256.0,3004.0,192256.0,2.0,8.0,192.0,3250176.0,1.0,0.00124207,32.0,32.0,8.0,8.0,32.0,0.0,348.0,6.0,50.0
1269,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,15.894289,128.0,128.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1268,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,13.098973,120.0,120.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1267,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,10.651639,112.0,112.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1266,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,8.534204,104.0,104.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1265,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,6.709764,96.0,96.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1264,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,5.169651,88.0,88.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1263,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,3.882949,80.0,80.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1262,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,2.834058,72.0,72.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1261,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,1.991874,64.0,64.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1260,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,1.335369,56.0,56.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1270,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,19.064008,136.0,136.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1259,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,0.84164,48.0,48.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1257,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,0.252154,32.0,32.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1256,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,0.108507,24.0,24.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1255,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,0.031607,16.0,16.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
1254,3.5,3.0,706.0,2496.0,1.0,320.0,2600.0,208.0,4.0,13.0,192.0,3524352.0,1.0,0.004740989,8.0,8.0,32.0,32.0,32.0,0.0,348.0,6.0,100.0
